accuracy,foragers,recruits,min_cycles,max_cycles,avg_cycles,file_name
34,56,44,8,1951,843.92,results_12_nodes_30_bees_3_scouts_2000_cycles.csv
30,59,41,4,2497,1179.36,results_12_nodes_30_bees_2_scouts_2500_cycles.csv
29,51,49,8,1980,1023.26,results_12_nodes_30_bees_2_scouts_2000_cycles.csv
24,56,44,2,1486,677.33,results_12_nodes_30_bees_3_scouts_1500_cycles.csv
24,49,51,2,1483,742.8,results_12_nodes_30_bees_2_scouts_1500_cycles.csv
10,10,90,1,2381,713.86,results_12_nodes_120_bees_24_scouts_2500_cycles_0.75_R_0.25_F.csv
7,55,45,1,2496,1270.71,results_12_nodes_30_bees_0_scouts_2500_cycles.csv
7,11,89,1,2349,770.84,results_12_nodes_120_bees_18_scouts_2500_cycles_0.75_R_0.25_F.csv
5,50,50,1,1475,729.32,results_12_nodes_60_bees_0_scouts_1500_cycles.csv
5,49,51,8,1927,979.9,results_12_nodes_30_bees_0_scouts_2000_cycles.csv
4,42,58,1,1480,656.01,results_12_nodes_30_bees_0_scouts_1500_cycles.csv
accuracy,foragers,recruits,min_cycles,max_cycles,avg_cycles,file_name
100,82,18,9,2145,657.05,results_12_nodes_180_bees_36_scouts_2500_cycles_0.25_R_0.75_F.csv
98,62,38,1,2146,673.28,results_12_nodes_180_bees_18_scouts_2500_cycles_50_forager_limit.csv
97,80,20,14,2372,698.35,results_12_nodes_180_bees_27_scouts_2500_cycles_50_forager_limit.csv
97,79,21,1,2350,614.27,results_12_nodes_180_bees_27_scouts_2500_cycles_0.25_R_0.75_F.csv
97,72,28,1,2264,801.43,results_12_nodes_180_bees_27_scouts_2500_cycles.csv
96,78,22,2,2129,730.81,results_12_nodes_120_bees_24_scouts_2500_cycles_0.25_R_0.75_F.csv
96,74,26,5,2271,746.43,results_12_nodes_180_bees_18_scouts_2500_cycles.csv
95,85,15,8,2228,601.72,results_12_nodes_150_bees_30_scouts_2500_cycles_0.25_R_0.75_F.csv
95,83,17,11,2266,716.65,results_12_nodes_180_bees_18_scouts_2500_cycles_0.25_R_0.75_F.csv
95,76,24,4,2473,768.86,results_12_nodes_150_bees_15_scouts_2500_cycles_0.25_R_0.75_F.csv
94,73,27,11,2480,757.96,results_12_nodes_150_bees_23_scouts_2500_cycles_50_forager_limit.csv
94,67,33,9,2468,743.51,results_12_nodes_150_bees_30_scouts_2500_cycles_50_forager_limit.csv
93,71,29,10,2462,695.58,results_12_nodes_180_bees_36_scouts_2500_cycles_50_forager_limit.csv
91,75,25,14,2444,690.15,results_12_nodes_120_bees_12_scouts_2500_cycles_0.25_R_0.75_F.csv
90,81,19,2,2408,780.61,results_12_nodes_120_bees_18_scouts_2500_cycles_0.25_R_0.75_F.csv
90,79,21,14,2349,826.14,results_12_nodes_120_bees_18_scouts_2500_cycles_50_forager_limit.csv
90,78,22,15,2387,776.97,results_12_nodes_180_bees_36_scouts_2500_cycles.csv
90,78,22,14,2269,605.81,results_12_nodes_150_bees_23_scouts_2500_cycles_0.25_R_0.75_F.csv
89,80,20,12,1853,747.32,results_12_nodes_150_bees_15_scouts_2500_cycles_50_forager_limit.csv
89,63,37,6,2329,803.54,results_12_nodes_150_bees_23_scouts_2500_cycles.csv
87,78,22,6,2472,849.2,results_12_nodes_120_bees_12_scouts_2500_cycles_50_forager_limit.csv
87,76,24,30,2475,835.35,results_12_nodes_150_bees_15_scouts_2500_cycles.csv
87,70,30,16,2473,794.6,results_12_nodes_120_bees_24_scouts_2500_cycles_50_forager_limit.csv
86,77,23,1,2430,881.17,results_12_nodes_150_bees_30_scouts_2500_cycles.csv
85,75,25,8,2494,939.83,results_12_nodes_120_bees_24_scouts_2500_cycles.csv
85,72,28,11,2475,912.58,results_12_nodes_90_bees_14_scouts_2500_cycles_0.25_R_0.75_F.csv
84,72,28,5,2465,893.02,results_12_nodes_90_bees_18_scouts_2500_cycles_0.25_R_0.75_F.csv
81,73,27,1,2486,839.63,results_12_nodes_120_bees_18_scouts_2500_cycles.csv
80,76,24,26,2456,972.39,results_12_nodes_90_bees_18_scouts_2500_cycles_50_forager_limit.csv
80,76,24,8,2470,837.83,results_12_nodes_150_bees_8_scouts_2500_cycles.csv
80,67,33,1,2491,1038.29,results_12_nodes_120_bees_6_scouts_2500_cycles_0.25_R_0.75_F.csv
80,63,37,5,2457,707.01,results_12_nodes_90_bees_14_scouts_2500_cycles_50_forager_limit.csv
79,75,25,9,2392,861.52,results_12_nodes_120_bees_12_scouts_2500_cycles.csv
78,68,32,5,2475,901.69,results_12_nodes_60_bees_12_scouts_2500_cycles_0.25_R_0.75_F.csv
76,69,31,12,2475,945.52,results_12_nodes_120_bees_6_scouts_2500_cycles.csv
76,67,33,2,2385,985.77,results_12_nodes_150_bees_23_scouts_2500_cycles_500_forager_limit.csv
75,72,28,6,2492,877.51,results_12_nodes_90_bees_9_scouts_2500_cycles_0.25_R_0.75_F.csv
74,70,30,16,2346,1016.38,results_12_nodes_90_bees_18_scouts_2500_cycles.csv
72,75,25,1,2377,941.05,results_12_nodes_90_bees_9_scouts_2500_cycles_50_forager_limit.csv
71,65,35,18,2436,1005.96,results_12_nodes_60_bees_6_scouts_2500_cycles_0.25_R_0.75_F.csv
68,70,30,2,2435,950.5,results_12_nodes_90_bees_14_scouts_2500_cycles.csv
68,59,41,1,2437,1042.05,results_12_nodes_120_bees_24_scouts_2500_cycles_500_forager_limit.csv
67,71,29,12,2477,1022.66,results_12_nodes_120_bees_18_scouts_2500_cycles_500_forager_limit.csv
67,69,31,1,2904,1274.32,results_12_nodes_60_bees_6_scouts_3000_cycles.csv
67,62,38,7,2395,960.6,results_12_nodes_60_bees_12_scouts_2500_cycles_50_forager_limit.csv
66,75,25,1,2473,980.29,results_12_nodes_90_bees_9_scouts_2500_cycles.csv
66,74,26,34,2487,1032.03,results_12_nodes_60_bees_9_scouts_2500_cycles_0.25_R_0.75_F.csv
66,73,27,2,2481,970.09,results_12_nodes_90_bees_5_scouts_2500_cycles_0.25_R_0.75_F.csv
66,71,29,6,2352,1130.37,results_12_nodes_60_bees_6_scouts_2500_cycles.csv
65,63,37,8,2498,992.04,results_12_nodes_150_bees_30_scouts_2500_cycles_500_forager_limit.csv
64,74,26,1,2491,1021.71,results_12_nodes_60_bees_9_scouts_2500_cycles.csv
63,71,29,2,2468,1028.19,results_12_nodes_60_bees_6_scouts_2500_cycles_50_forager_limit.csv
60,62,38,13,2411,932.62,results_12_nodes_120_bees_12_scouts_2500_cycles_500_forager_limit.csv
58,59,41,2,2444,1050.03,results_12_nodes_60_bees_12_scouts_2500_cycles.csv
56,71,29,24,2365,996.97,results_12_nodes_60_bees_9_scouts_2500_cycles_50_forager_limit.csv
50,73,27,5,2408,975.1,results_12_nodes_90_bees_5_scouts_2500_cycles.csv
44,63,37,28,1977,914.42,results_12_nodes_60_bees_6_scouts_2000_cycles.csv
43,64,36,6,2467,1150.22,results_12_nodes_60_bees_3_scouts_2500_cycles.csv
42,56,44,9,1497,635.07,results_12_nodes_60_bees_3_scouts_1500_cycles.csv
42,53,47,15,2498,1144.16,results_12_nodes_30_bees_5_scouts_2500_cycles.csv
41,59,41,2,1472,629.95,results_12_nodes_60_bees_6_scouts_1500_cycles.csv
39,60,40,19,2451,1096.93,results_12_nodes_30_bees_3_scouts_2500_cycles.csv
36,51,49,1,2468,977.01,results_12_nodes_30_bees_6_scouts_2500_cycles.csv
34,56,44,8,1951,843.92,results_12_nodes_30_bees_3_scouts_2000_cycles.csv
30,59,41,4,2497,1179.36,results_12_nodes_30_bees_2_scouts_2500_cycles.csv
29,51,49,8,1980,1023.26,results_12_nodes_30_bees_2_scouts_2000_cycles.csv
24,56,44,2,1486,677.33,results_12_nodes_30_bees_3_scouts_1500_cycles.csv
24,49,51,2,1483,742.8,results_12_nodes_30_bees_2_scouts_1500_cycles.csv
18,8,92,1,2355,701.25,results_12_nodes_150_bees_23_scouts_2500_cycles_0.75_R_0.25_F.csv
13,9,91,1,2460,657.06,results_12_nodes_180_bees_27_scouts_2500_cycles_0.75_R_0.25_F.csv
12,7,93,1,2469,832.48,results_12_nodes_180_bees_36_scouts_2500_cycles_0.75_R_0.25_F.csv
12,6,94,1,2376,696.88,results_12_nodes_150_bees_30_scouts_2500_cycles_0.75_R_0.25_F.csv
10,10,90,1,2381,713.86,results_12_nodes_120_bees_24_scouts_2500_cycles_0.75_R_0.25_F.csv
7,55,45,1,2496,1270.71,results_12_nodes_30_bees_0_scouts_2500_cycles.csv
7,11,89,1,2349,770.84,results_12_nodes_120_bees_18_scouts_2500_cycles_0.75_R_0.25_F.csv
5,50,50,1,1475,729.32,results_12_nodes_60_bees_0_scouts_1500_cycles.csv
5,49,51,8,1927,979.9,results_12_nodes_30_bees_0_scouts_2000_cycles.csv
4,42,58,1,1480,656.01,results_12_nodes_30_bees_0_scouts_1500_cycles.csv
